rate,votes,location,rest_type,dish_liked,cuisines
3.1/5,247,HSR,Takeaway Delivery,Raita,Biryani Kerala Mughlai Street Food North Indian Chinese South Indian Andhra
4.5/5,684,Koramangala 5th Block,Casual Dining,Noodles Manchow Soup Sake Veg Sushi Virgin Pinacolada Tempura Prawns Sea Food,Chinese Sushi Asian Thai
4.1/5,1225,Koramangala 5th Block,Quick Bites,Nachos Rice Bowl California Burrito Rice Bowls Chicken Quesadilla Bbq Chicken Pink Lemonade,Mexican Fast Food
4.1/5,439,Koramangala 5th Block,Casual Dining,Dragon Chicken Butter Chicken Rolls Mutton Biryani Raita Panneer Butter Masala Tandoori Chicken,North Indian Chinese Biryani
4.3/5,995,Koramangala 5th Block,Quick Bites,Momos Noodles Thukpa Chicken Thupka Manchow Soup Chicken Momo Crispy Honey Chicken,Chinese Tibetan Momos
3.8/5,321,HSR,Casual Dining,Paneer Lababdar Ginger Tea Butter Kulcha Chicken Boneless Biryani Chaat Chai,Hyderabadi North Indian South Indian Biryani
4.5/5,548,Koramangala 5th Block,Cafe,Salads Healthy Breakfast Quinoa Salad Frittata Pancakes Smoothie Chocolate Wheat Roll,Cafe Continental Mediterranean Beverages
4.1/5,2448,Koramangala 6th Block,Cafe,Burgers Cheese Burger Mojito Peri Peri Fries Apple Pie Tea Peri Peri Chicken Wings,Cafe Burger Fast Food Desserts
4.3/5,450,Koramangala 5th Block,Dessert Parlor,Waffles Blueberry Cheesecake Brownie Fudge Vanilla Ice Cream Freak Shake Nutella Cheesecake Nutella Waffle,Ice Cream Desserts Beverages
4.2/5,676,Koramangala 5th Block,Casual Dining,Buttermilk Chicken Dosa Masala Dosa Filter Coffee Tea Chicken Sandwich Paneer Dosa,South Indian North Indian Chinese
4.1/5,43,Koramangala 5th Block,Quick Bites,Chai Aloo Samosa Tea,Street Food Fast Food
4.1/5,450,Koramangala 7th Block,Casual Dining,Dal Makhani Phirni Kheer Chicken Butter Masala Murgh Lababdar Chicken Tikka Paneer Tikka,North Indian
4.5/5,324,Koramangala 5th Block,Casual Dining,Mocktails Kimchi Sushi Pork Bibimbap Ginger Tea Chicken Sizzler Salads,Korean
4.4/5,316,BTM,Mess,Beef Fry Masala Dosa Chicken Curry Fish Fry Chicken Biryani Roast Beef Beef Curry,Kerala South Indian Biryani
4.5/5,940,Koramangala 1st Block,Dessert Parlor,Coffee Walnut Chocolate Icecreams Tender Coconut Ice Cream Thandai Mango Ice Cream Fruit Ice Cream Custard Apple,Ice Cream Beverages
4.3/5,236,Koramangala 7th Block,Beverage Shop,Thick Shakes Belgium Chocolate Triple Choco Chip Chocolate Thickshake Brownie Shake Mango Blast Belgian Chocolate Shake,Beverages Juices
3.1/5,117,Koramangala 7th Block,Quick Bites,Thali Chicken Lollipop Gundappa Donne Biryani Mutton Biryani,Biryani
3.9/5,154,Koramangala 6th Block,Quick Bites,Sabudana Khichdi Pav Bhaji Pyaz Kachori Chole Bhature Faluda Malai Ghewar Lassi,North Indian Street Food
3.9/5,164,Koramangala 8th Block,Beverage Shop,Salads Sandwiches Shawarma Watermelon Juice Tea Papaya Juice Fruit Juices,Beverages Fast Food
3.8/5,289,Koramangala 8th Block,Dessert Parlor Cafe,Burgers Pizza Chocolate Fudge Caramel Cheesecake Vanilla Ice Cream Hot Chocolate Thick Shakes,Desserts Cafe Fast Food
3.7/5,73,Koramangala 6th Block,Sweet Shop Quick Bites,Thali Dhokla Chaat Samosa Panipuri Jalebi Pav Bhaji,Mithai North Indian Street Food
4.0/5,98,Koramangala 6th Block,Quick Bites,Dhokla Raj Kachori Panipuri Jalebi Pyaz Kachori,Street Food Beverages
3.8/5,62,Koramangala 7th Block,Bakery Dessert Parlor,Donut Chocolate Fantasy,Desserts
2.7/5,56,HSR,Delivery,Chicken Momo Momos,Biryani North Indian Italian Chinese Sandwich Desserts
3.6/5,72,Koramangala 7th Block,Quick Bites,Rolls Aloo Paratha Lassi Bread Omelette,North Indian Chinese Rolls
4.0/5,203,Koramangala 6th Block,Food Court Quick Bites,Luchi Mutton Kosha Mutton Curry Roti Fish Finger Chicken Curry,Bengali Bihari
3.6/5,51,HSR,Takeaway Delivery,Dahi Vada Rasgulla Samosa,Mithai Street Food
4.0/5,115,BTM,Casual Dining,Burgers Nachos Fries White Sauce Pasta Cheese Pasta Chicken Burger Chicken Steak,Continental Steak Fast Food
3.4/5,46,Domlur,Casual Dining,Garlic Naan,North Indian
4.0/5,128,Koramangala 5th Block,Dessert Parlor,Panipuri,Ice Cream
3.6/5,54,Koramangala 6th Block,Quick Bites,Chole Bhature Omelette,North Indian Chinese South Indian Fast Food
3.7/5,126,Koramangala 6th Block,Delivery,Noodles Biryani Peri Peri Pasta Laccha Paratha,Chinese Biryani Pizza Italian North Indian
3.1/5,53,BTM,Casual Dining,Butter Chicken Noodles,North Indian Chinese Kerala
3.9/5,64,Koramangala 6th Block,Quick Bites,English Breakfast Eggs Baked Beans Oreo Pancake Nutella Pancakes French Toast Omelette,Continental
3.6/5,61,BTM,Cafe,Pasta Chicken Steak Burgers Cold Coffee Shawarma Honey Chilli Fries,Cafe
4.0/5,40,Koramangala 6th Block,Dessert Parlor,Waffles Burgers Tea Pasta Garlic Bread,Desserts Fast Food
3.8/5,35,BTM,Takeaway Delivery,Rolls Chicken Roll Paneer Roll Pasta,Fast Food
3.8/5,38,Koramangala 5th Block,Dessert Parlor,Nitrogen Ice Cream,Ice Cream Beverages Desserts
3.6/5,34,BTM,Quick Bites,Wood Fire Pizza,Italian Pizza
4.0/5,157,Koramangala 6th Block,Dessert Parlor,Brownie Vanilla Ice Cream,Desserts
3.4/5,9,Koramangala 8th Block,Takeaway Delivery,Sea Food Dal Makhani Basmati Rice Butter Chicken Chicken Tikka Masala,Seafood North Indian Chinese
4.0/5,65,Koramangala 1st Block,Quick Bites,Chicken Noodle Noodles Paneer Lababdar Paratha,Chinese North Indian
2.7/5,61,Koramangala 6th Block,Quick Bites,Rolls Shawarma Roll Chicken Grill Thali,Arabian Biryani North Indian Chinese Fast Food
3.4/5,257,Koramangala 1st Block,Quick Bites,Chicken Biryani Chicken Kebab,Biryani Kebab
4.0/5,344,Old Airport Road,Casual Dining Pub,Burgers Beef Steak Cocktails Chips Chicken Soup Onion Rings Chicken Wings,Continental
4.0/5,87,BTM,Beverage Shop,Faluda Fruit Salad Fruit Lassi,Beverages
4.0/5,152,Koramangala 5th Block,Beverage Shop Quick Bites,Faluda Sandwiches Paneer Tikka Pizza Cream Mango Custard Apple Cream Veg Sandwich,Beverages Fast Food Desserts
4.0/5,138,Koramangala 7th Block,Casual Dining,Burgers Pulpy Grape Juice Chicken Wings Pita Bread Chicken Grill Fish Grill French Fries,North Indian Arabian Mughlai Middle Eastern Grill
4.0/5,126,HSR,Casual Dining,Chicken Biryani Dal Makhani Bamboo Biryani Garlic Naan,North Indian Mughlai Chinese South Indian
3.9/5,48,HSR,Quick Bites,Burgers,Fast Food Beverages
3.9/5,145,Koramangala 4th Block,Delivery,Biryani,North Indian
3.8/5,172,Koramangala 5th Block,Casual Dining,Jalebi Chaat Dal Makhani Tandoori Roti,North Indian South Indian Chinese
4.0/5,281,Koramangala 4th Block,Casual Dining Bar,Biryani Breakfast Buffet Fish Salads Burgers Caramel Pudding Steak,European American Continental North Indian Steak
4.2/5,414,Koramangala 5th Block,Cafe,Pancakes Pasta Burgers Exotic Veg Pizza Mushroom Steak Sushi Peri Fries,Cafe Desserts Beverages
4.3/5,169,Koramangala 4th Block,Dessert Parlor,Waffles Thick Shakes Choco Brownie Ferrero Rocher Shake Blueberry Shake Milky Way Nutella Brownie,Desserts Beverages
3.7/5,52,Koramangala 4th Block,Cafe,Margherita Pizza Cheesy Bites,Cafe Italian Pizza
4.3/5,552,Koramangala 6th Block,Microbrewery Casual Dining,Beer Pizza Mocktails Pasta Cocktails Rasmalai Brownie,Continental North Indian Pizza BBQ
4.7/5,262,Koramangala 5th Block,Dessert Parlor Quick Bites,Hazelnut Cappuccino Pancakes Nutella Shake Chocolate Icecreams Butter Chicken Hibiscus Tea,Desserts Fast Food
4.2/5,2620,Koramangala 5th Block,Casual Dining,Coconut Payassam Seafood Soup Fish Filter Kaapi Tender Coconut Payasam Mutton Curry Mysore Masala Dosa,Chettinad Andhra Kerala
4.2/5,1531,Koramangala 6th Block,Quick Bites,Lassi Nachos Mojito Roti Panipuri Pizza Waffles,North Indian Chinese Italian Street Food Desserts
4.4/5,361,Koramangala 6th Block,Cafe,Tomato Soup Brownie Shake Pizza Salad Fries Chicken Bbq Wings Pasta,Cafe North Indian Pizza Sandwich Salad
4.4/5,168,Koramangala 5th Block,Cafe Dessert Parlor,Tea Chocolate Bomb Waffles Fries Pasta Alfredo Mocktails Burgers,Cafe Italian Desserts
4.1/5,1850,Koramangala 1st Block,Cafe,Burgers Coffee Cappuccino Barbeque Burger Sandwiches Spinach Pasta Sandwich,Cafe American Italian Burger
4.5/5,833,Koramangala 5th Block,Dessert Parlor,Hot Chocolate Chocolate Overload Belgian Waffles Nutella Waffle Thick Shakes Caramel Coffee Vanilla Ice Cream,Desserts Beverages
4.5/5,2613,Koramangala 5th Block,Dessert Parlor Cafe,Burgers Spinach Pizza Butter Chicken Pizza Chicken Bbq Burger Tiramisu Ferrero Rocher Brownie Shake,Ice Cream Cafe Pizza Burger Desserts Beverages
4.2/5,494,Koramangala 5th Block,Cafe,Mocktails Salad Coffee Pizza Meat Balls Hot Chocolate Pasta,Cafe Continental Beverages
4.1/5,601,Koramangala 6th Block,Casual Dining,Pizza Pasta Salads Masala Chai Soya Buttermilk Burgers Chocolate Icecreams,Italian North Indian Healthy Food Desserts
4.6/5,1026,Koramangala 7th Block,Cafe Dessert Parlor,Paneer Peri Peri Pancakes Fajitas Sweet Crepe Peri Peri Chicken Chicken Breast Nutella Crepe,Cafe Desserts Continental
4.0/5,152,Koramangala 2nd Block,Casual Dining,Breakfast Buffet Sushi Cheesecake Gulab Jamun Lunch Buffet Fish Noodles,Continental Italian North Indian Asian Bakery Chinese European Japanese
4.3/5,450,Koramangala 5th Block,Dessert Parlor,Waffles Blueberry Cheesecake Brownie Fudge Vanilla Ice Cream Freak Shake Nutella Cheesecake Nutella Waffle,Ice Cream Desserts Beverages
4.6/5,277,Koramangala 5th Block,Dessert Parlor,Brownie Chocolate Brown Bomb Hot Chocolate Fudge Fudge Cake Brownie Fudge,Ice Cream Desserts
4.2/5,1077,Koramangala 5th Block,Sweet Shop,Chaat Rasmalai Motichoor Ladoo Thali Pav Bhaji Paneer Tikka Chole Bhature,Mithai Street Food
4.1/5,61,Koramangala 5th Block,Dessert Parlor,Churros Baklava Ice Cream Cheesecake Chocolate Peanut Butter Cheese Roll Chocolate Sundae,Desserts Ice Cream Beverages Sandwich
4.1/5,314,Koramangala 1st Block,Takeaway Delivery,Burgers Pancakes Waffles Salad,Healthy Food Salad
4.5/5,151,Koramangala 5th Block,Delivery,Brownie Veg Thali Noodles,Healthy Food North Indian Biryani Continental Sandwich Desserts
4.5/5,342,Koramangala 5th Block,Dessert Parlor Cafe,Pan Cake Waffles Nutella Pancakes,Desserts Cafe
4.3/5,1901,Koramangala 5th Block,Dessert Parlor,Brownie Apple Pie Blackberry Cheesecake Chocolate Icecreams Hot Chocolate Caramel Chocolate Peach Parfait,Desserts
4.4/5,491,Koramangala 6th Block,Dessert Parlor,Ice Cream Roll Waffles Pizza Nitrogen Ice Cream Rolls Brownie Fudge Popcorn,Desserts Ice Cream
4.2/5,1702,Koramangala 5th Block,Cafe,Burgers Pasta Chocolate Mousse Potato Wedges Cup Cake Cheesy Fries Peri Peri Chicken,Cafe Italian Burger American Steak
4.5/5,940,Koramangala 1st Block,Dessert Parlor,Coffee Walnut Chocolate Icecreams Tender Coconut Ice Cream Thandai Mango Ice Cream Fruit Ice Cream Custard Apple,Ice Cream Beverages
4.2/5,195,Koramangala 6th Block,Dessert Parlor,Choco Fudge Brownie Sandwich Ice Cream Pizza Tiramisu Sandwiches Chocolate Icecreams Hot Chocolate,Ice Cream Desserts Beverages Sandwich
4.2/5,600,Koramangala 7th Block,Dessert Parlor,Sandwich Cheesecake Cup Cake Hot Chocolate Coffee Macaroon Mousse,Desserts Beverages
4.1/5,241,Koramangala 5th Block,Beverage Shop,Chocolate Hazelnut Thick Shakes Brownie Chocolate Belgian Chocolate Chocolate Shake Tiramisu Oreo Shake,Beverages Desserts Ice Cream
4.0/5,70,Koramangala 7th Block,Dessert Parlor,Waffles,Desserts
4.3/5,67,Koramangala 5th Block,Dessert Parlor,Turkish Ice Cream Baklava Chocolate Icecreams,Turkish Desserts
4.8/5,187,Koramangala 5th Block,Dessert Parlor,Nachos Chocolate Waffles Nutella Waffle Salsa Oreo Waffle,Desserts
4.1/5,138,Koramangala 5th Block,Cafe,Salads Chicken Sandwich Brownie Spaghetti Arugula Salad Cheesecake Cheese Chilli Toast,Cafe Healthy Food Salad Beverages Desserts
4.2/5,340,Koramangala 5th Block,Dessert Parlor,Chocolate Overdose Chocolate Icecreams Brownie Coffee Waffles Tiramisu Hot Chocolate Fudge,Desserts Beverages
4.2/5,178,Koramangala 5th Block,Dessert Parlor,Belgian Waffles Chocolate Overload Triple Chocolate,Desserts Beverages
3.9/5,140,Koramangala 7th Block,Quick Bites Sweet Shop,Mishti Doi Rasgulla Radhaballavi Rasmalai Chamcham Dum Aloo Malai Roll,Street Food Mithai
4.1/5,77,Koramangala 7th Block,Dessert Parlor,Waffle Cone,Ice Cream Desserts
4.0/5,231,Koramangala 5th Block,Dessert Parlor,Rolls Chocolate Icecreams Red Velvet Ice Cream Ice Cream Roll Waffles,Ice Cream Desserts
4.4/5,102,Koramangala 8th Block,Cafe,Pasta Salad Mousse Noodles Fries Mocktails Pizza,Cafe Continental Beverages
3.9/5,128,Koramangala 5th Block,Dessert Parlor,Nolen Gurer Ice Cream Paan Ice Cream Nolen Gur Gur Ice Cream Tender Coconut Ice Cream,Ice Cream Desserts
3.8/5,123,Koramangala 5th Block,Bakery,Coffee Cup Cake,Bakery Desserts
4.0/5,186,Koramangala 7th Block,Bakery Dessert Parlor,Donut Chocolate Mousse Chocolate Cake Cheesecake Chicken Wings,Bakery Fast Food
4.2/5,448,Koramangala 7th Block,Dessert Parlor,Donut Coffee Chocolate Dreamcake Latte Hot Chocolate Cookie Crunch Cappuccino,Desserts Beverages
4.1/5,324,Koramangala 7th Block,Cafe,Burgers Coffee Waffles Mocktails Pasta Brownie Chocolate Chicken Salami,Cafe American Italian Beverages
3.9/5,79,Koramangala 7th Block,Dessert Parlor,Waffles Chocolate Bomb Belgium Chocolate Chocolate Sundae Chocolate Icecreams Strawberry Cheesecake,Ice Cream Desserts
4.0/5,100,Koramangala 7th Block,Dessert Parlor,Chocolate Chip Cookie Brownie Chocolate,Bakery
4.0/5,152,Koramangala 5th Block,Beverage Shop Quick Bites,Faluda Sandwiches Paneer Tikka Pizza Cream Mango Custard Apple Cream Veg Sandwich,Beverages Fast Food Desserts
4.0/5,210,Koramangala 5th Block,Beverage Shop,Faluda Sweet Lassi Mango Lassi Malai Kulfi,Beverages Ice Cream
3.9/5,43,Koramangala 5th Block,Beverage Shop,Sandwiches Mango Shake,Beverages Juices Fast Food
3.8/5,34,Koramangala 5th Block,Bakery,Sandwiches,Bakery Desserts Sandwich
3.8/5,289,Koramangala 8th Block,Dessert Parlor Cafe,Burgers Pizza Chocolate Fudge Caramel Cheesecake Vanilla Ice Cream Hot Chocolate Thick Shakes,Desserts Cafe Fast Food
3.8/5,75,Koramangala 3rd Block,Sweet Shop,Chaat Jalebi Samosa Badam Milk Panipuri,Mithai Street Food
3.5/5,98,Koramangala 8th Block,Bakery,Chocolate Truffle Blueberry Cheesecake,Bakery Desserts
3.7/5,73,Koramangala 6th Block,Sweet Shop Quick Bites,Thali Dhokla Chaat Samosa Panipuri Jalebi Pav Bhaji,Mithai North Indian Street Food
4.2/5,53,Koramangala 5th Block,Dessert Parlor,Waffles Pancakes Oreo Waffle,Desserts Beverages
4.1/5,37,Koramangala 7th Block,Dessert Parlor Quick Bites,Waffles Nutella Ice Cream French Fries,Desserts Fast Food
3.8/5,63,Koramangala 7th Block,Cafe Bakery,Waffles Burgers Hot Chocolate Chocolate Avalanche Fries Brownie,Cafe Desserts Bakery
4.2/5,703,Koramangala 7th Block,Dessert Parlor,Donut Latte Coffee Choco Bomb Hot Chocolate Waffles Cappuccino,Bakery Desserts Beverages
4.1/5,511,Koramangala 6th Block,Dessert Parlor,Nachos Waffles Hot Chocolate Fudge Chocolate Icecreams Tiramisu Cheesy Garlic Bread Vanilla Ice Cream,Desserts Ice Cream
3.8/5,62,Koramangala 7th Block,Bakery Dessert Parlor,Donut Chocolate Fantasy,Desserts
3.9/5,110,Koramangala 5th Block,Dessert Parlor,Gelato Madagascar Chocolate Belgian Chocolate Waffle Cone New York Cheesecake,Ice Cream Bakery Desserts
4.4/5,149,Koramangala 5th Block,Takeaway Delivery,Chocolate Fudge Chocolate Shake Bubble Gum Shake Hot Chocolate Belgian Waffles Mango Milkshake,Beverages Desserts
3.5/5,33,Koramangala 6th Block,Sweet Shop,Jalebi Poha Puri Sabzi,Mithai Fast Food
4.0/5,275,Koramangala 3rd Block,Cafe,Waffles Coffee Pesto Sandwich Hazelnut Cappuccino Latte Salads Pasta,Cafe
4.0/5,128,Koramangala 5th Block,Dessert Parlor,Panipuri,Ice Cream
4.0/5,40,Koramangala 6th Block,Dessert Parlor,Waffles Burgers Tea Pasta Garlic Bread,Desserts Fast Food
3.8/5,38,Koramangala 5th Block,Dessert Parlor,Nitrogen Ice Cream,Ice Cream Beverages Desserts
4.0/5,157,Koramangala 6th Block,Dessert Parlor,Brownie Vanilla Ice Cream,Desserts
3.7/5,49,Koramangala 7th Block,Dessert Parlor Beverage Shop,Hot Chocolate Fudge,Desserts Beverages
4.0/5,76,Koramangala 1st Block,Bakery,Coffee,Bakery Desserts
3.8/5,433,Koramangala 5th Block,Dessert Parlor Quick Bites,Club Chicken Sandwich Sandwiches Coffee Pie Burgers Carrot Cake Cheesecake,Desserts
4.0/5,206,BTM,Sweet Shop Quick Bites,Chole Kulfi Kachori Samosa Chaat Pav Bhaji Barfi,Mithai Street Food Fast Food
4.1/5,41,Domlur,Dessert Parlor Bakery,Cheesecake Key Lime Pie,Desserts Bakery
3.9/5,48,HSR,Dessert Parlor,Bubble Tea Waffles Blueberry Cheesecake,Beverages Bubble Tea Desserts
4.0/5,87,BTM,Beverage Shop,Faluda Fruit Salad Fruit Lassi,Beverages
3.7/5,92,HSR,Bakery,Burgers Eggless Cake Red Velvet Cake,Bakery Desserts
2.7/5,56,HSR,Delivery,Chicken Momo Momos,Biryani North Indian Italian Chinese Sandwich Desserts
3.6/5,51,HSR,Takeaway Delivery,Dahi Vada Rasgulla Samosa,Mithai Street Food
3.8/5,34,HSR,Quick Bites Bakery,Cup Cake,Bakery Desserts Italian North Indian Fast Food
4.4/5,2395,Koramangala 4th Block,Casual Dining,Salads Shitake Mushrooms Noodles Dumplings Nasi Goreng Crispy Corn Vegetarian,Malaysian Thai Singaporean Asian Chinese Momos
4.3/5,216,Koramangala 4th Block,Casual Dining Bar,Cocktails Shakshouka Beer Margherita Pizza Blueberry Cheesecake Fries Bellini,Continental South Indian Italian North Indian Chinese
4.8/5,460,Koramangala 5th Block,Pub Microbrewery,Penne Arrabiata Pasta Craft Beer Cocktails Bruschettas Peri Peri Chicken Pizza Mocktails,Continental North Indian Chinese European BBQ Finger Food Asian
4.6/5,7120,Koramangala 4th Block,Cafe,Waffles Healthy Breakfast English Breakfast Pancakes Burgers Sandwiches Mushroom Omelette,Cafe American Burger
4.5/5,7854,Koramangala 4th Block,Pub Microbrewery,Mango Cider Cajun Potato Nachos Salads Pizza Wheat Beer Pork Ribs,American Continental North Indian Salad
4.4/5,9080,Koramangala 4th Block,Casual Dining Cafe,Berryblast Gourmet Pizza Mocktails Ravioli Bacon Pizza Pasta Prawn Pizza,Pizza Cafe Italian
4.6/5,886,Koramangala 4th Block,Microbrewery Casual Dining,Cocktails Beer Mocktails Biryani Long Island Iced Tea Pizza Drunken Prawn,Continental Finger Food Asian North Indian
4.5/5,1228,Koramangala 4th Block,Microbrewery Bar,Mai Thai Sangria Cocktails Pizza Biryani Beer Chicken Nachos,American North Indian Pizza Finger Food Continental Italian
4.4/5,1224,Koramangala 4th Block,Cafe,Coffee Hummus Platter Granola Parfait Hot Chocolate Cappuccino Waffles Skillet Cookie,Cafe Continental Desserts
4.4/5,4079,Koramangala 4th Block,Bar Casual Dining,Cocktails Barbeque Chicken Pizza Chocolate Martini Nachos Bbq Chicken Pizza Wedges Beer,Asian Burger Pizza Chinese Finger Food
4.2/5,1741,Koramangala 4th Block,Pub,Cocktails Devils Chicken Beer Tandoori Chicken Pasta Pinacolada Pizza,Chinese Continental North Indian
4.5/5,256,Koramangala 4th Block,Casual Dining,Pasta Wine Pizza Lasagne Cheesecake Spinach Ravioli Cocktails,Italian Pizza Salad
4.2/5,1175,Koramangala 4th Block,Pub,Beer Chilli Chicken Pizza Paneer Tikka Cocktails Nachos Mocktails,Finger Food Chinese Italian Burger
4.1/5,314,Koramangala 4th Block,Cafe,Poha Momos Chai Pasta Tea Pancakes Chicken Sandwich,Cafe Continental
4.4/5,1808,Koramangala 4th Block,Casual Dining,Pho Hot Pot Sangria Fig Ice Cream Crepe Fish Pumpkin Soup,Vietnamese
4.3/5,164,Koramangala 4th Block,Casual Dining,Noodles Mocktails Miso Soup Chilli Ramen Chicken Grill Steamed Rice Gyoza,Chinese Asian Japanese
4.3/5,294,Koramangala 4th Block,Cafe,Pizza Pancakes Penne Pasta Hot Chocolate Mezze Platter Cappuccino Waffles,Cafe Italian Pizza
3.9/5,1160,Koramangala 4th Block,Casual Dining,Tandoori Chicken Biryani Chettinad Thali Elaneer Payasam Crab Soup Fish Pepper Chicken,Chettinad South Indian
4.2/5,1624,Koramangala 4th Block,Casual Dining,Pasta Pizza Steak Mojito Salads Tiramisu Sea Food,Salad Italian Desserts Pizza
4.1/5,258,Koramangala 4th Block,Casual Dining,Rabri Tandoori Roti Mutton Roganjosh Shahi Tukda Naan Mutton Seekh Malai Kofta,Mughlai North Indian Turkish Afghan
4.1/5,807,Koramangala 4th Block,Casual Dining Bar,Supreme Chicken Biryani Chicken Curry Curd Rice Chilli Chicken Veg Thali Lime Soda Mutton Bone Soup,Andhra Biryani North Indian Chinese
4.4/5,466,Koramangala 4th Block,Cafe,Pizza Healthy Breakfast Momos Enchiladas Aloo Papdi Chaat Coffee Tea,Cafe Continental Healthy Food Sandwich Pizza Desserts Beverages
4.0/5,1238,Koramangala 4th Block,Cafe,Pizza Pasta Mocktails Malai Tikka Noodles Chicken Tikka Spaghetti,Cafe
4.2/5,767,Koramangala 4th Block,Casual Dining,Mocktails Dal Tadka Paneer Lababdar Stuffed Kulcha Vegetable Biryani Sea Food Wine,North Indian Chinese Seafood
3.8/5,75,Koramangala 4th Block,Casual Dining,Pasta Pizza,Continental Italian Chinese
3.9/5,144,Koramangala 4th Block,Casual Dining,Mocktails Pasta Wood Fire Pizza Paneer Malai Tikka French Fries Nachos Burgers,Continental Chinese Fast Food Beverages
4.2/5,169,Koramangala 4th Block,Cafe,Pizza Coffee Burgers Pasta Tiramisu Sandwiches Tea,Cafe Desserts
3.7/5,291,Koramangala 4th Block,Casual Dining,Murgh Ghee Roast Mutton Biryani Buttermilk Andhra Meal Thali Chilli Chicken Prawn,Andhra North Indian Chinese Biryani
4.1/5,65,Koramangala 4th Block,Cafe Casual Dining,Spaghetti Hot Chocolate Coffee Tea,Cafe Italian Continental
4.0/5,281,Koramangala 4th Block,Casual Dining Bar,Biryani Breakfast Buffet Fish Salads Burgers Caramel Pudding Steak,European American Continental North Indian Steak
3.7/5,483,Koramangala 4th Block,Casual Dining,Chicken Fritters Steak Sandwiches Burgers Pasta Salads Beef Stroganoff,Continental Steak Chinese Salad Desserts Seafood Italian
3.9/5,597,Koramangala 4th Block,Bar,Beer Biryani Cocktails Masala Peanuts Chicken Tikka Chips Fish,Finger Food North Indian Chinese
4.1/5,100,Koramangala 4th Block,Casual Dining,Onion Rings Triple Schezwan,American Continental Chinese
4.0/5,1209,Koramangala 4th Block,Cafe,Seafood Pizza Pasta Mocktails Brownie Tenderloin Burger Burgers Exotic Veg Pizza,Cafe Continental Italian Burger Pizza
3.9/5,105,Koramangala 4th Block,Bar,Onion Rings French Fries,Finger Food
3.6/5,76,Koramangala 4th Block,Cafe,Fries Nachos Burgers,Cafe Fast Food
3.9/5,523,Koramangala 4th Block,Casual Dining,Noodles Momos Chicken Manchow Soup Chicken Noodle Prawn Chicken Honey Thai Rice,Chinese Thai Momos
2.5/5,547,Koramangala 4th Block,Casual Dining,Rajma Chawal Khichda Gulab Jamun Paratha Dal Makhani Lassi Paneer Tikka,North Indian
3.8/5,169,Koramangala 4th Block,Bar,Prawn French Fries Draught Beer Biryani,South Indian North Indian
4.1/5,221,Koramangala 4th Block,Casual Dining,Rasmalai Murgh Lababdar Kadai Paneer Dal Makhani Fish Jal-jeera Lassi,North Indian
3.9/5,220,Koramangala 4th Block,Quick Bites,Dum Aloo Sweet Lassi Aloo Paratha Biryani,North Indian
2.8/5,289,Koramangala 4th Block,Casual Dining,Filter Coffee Mysore Masala Dosa Buttermilk Idli Rava Dosa Neer Dosa Thali,South Indian North Indian Chinese Street Food
2.7/5,47,Koramangala 4th Block,Casual Dining,Paratha,North Indian
3.7/5,52,Koramangala 4th Block,Cafe,Margherita Pizza Cheesy Bites,Cafe Italian Pizza
4.1/5,502,Koramangala 4th Block,Quick Bites,Fries White Sauce Pasta Monster Pizza Cheesy Garlic Bread Cheesy Pizza Margherita Pizza,Italian Pizza Beverages
4.3/5,342,Koramangala 4th Block,Quick Bites,Bingsu Mocktails Custard Chocolate Oreo Sandwiches Brownie Korean Ice Cream,Desserts Ice Cream Beverages
3.0/5,290,Koramangala 4th Block,Quick Bites,Pizza Garlic Bread Chocolava,Pizza Fast Food
4.0/5,198,Koramangala 4th Block,Quick Bites,Butter Naan Tandoori Chicken Chicken Tikka Masala Malai Kofta Biryani Wheat Paratha Noodles,North Indian
3.9/5,49,Koramangala 4th Block,Quick Bites,Sea Food,South Indian Chinese Seafood
4.0/5,211,Koramangala 4th Block,Quick Bites,Pizza Dragon Chicken Butter Chicken Noodles Chicken Wings Chicken Noodle,Continental Pizza Chinese
3.7/5,434,Koramangala 4th Block,Quick Bites,Bhindi Fry Aloo Fry Sweet Lassi Paratha Tawa Roti Palak Paneer Butter Chicken,North Indian South Indian Chinese
2.7/5,53,Koramangala 4th Block,Bakery Quick Bites,Sandwiches Sandwich Coffee,Bakery Fast Food Italian
3.9/5,241,Koramangala 4th Block,Quick Bites,Garlic Bread Pasta Veggie Pizza Salsa Nachos Nawabi Pizza Sicilian Pizza,Pizza Italian
3.9/5,151,Koramangala 4th Block,Food Court,Thukpa Chocolate Momos Schezwan Momos Momos Burger Burgers Chicken Momo Veg Momos,Tibetan Momos
4.7/5,10503,Koramangala 5th Block,Casual Dining Bar,Chocolate Lollipop Chocolate Biscuit Fire Shots Sangria Chocolate Ganache Paneer Makhani Corn Fry,North Indian European Mediterranean
4.7/5,14704,Koramangala 5th Block,Cafe Casual Dining,Burgers Pasta Cocktails American Cheese Burger Chicken Salad Pancakes Chocolate Dessert,Cafe American Burger Steak
4.3/5,559,Koramangala 6th Block,Microbrewery Casual Dining,Beer Pizza Mocktails Pasta Rasmalai Cocktails Brownie,Continental North Indian Pizza BBQ
4.6/5,4689,Koramangala 7th Block,Lounge,Manchow Soup Caramel Custard Cocktails Bbq Platter Pork Ribs Mocktails Paratha,American North Indian Chinese Finger Food
